,Swedish,English
0,steg ,step
1,förstöra ,Destroy
2,tillhör ,belongs
3,slags ,sort of
4,fly ,escape
5,vare ,it
6,hellre ,rather
7,uppdrag ,mission
8,speciellt ,especially
9,vackert ,beautifully
10,värsta ,worst
11,fina ,Fine
12,spelade ,Played
13,dansa ,dance
14,vila ,rest
15,klarade ,managed
16,söt ,sweet
17,filmen ,the movie
18,värt ,Worth
19,skämt ,joke
20,jävlar ,Damn
21,namnet ,The name
22,skogen ,the forest
23,kär ,in love
24,frun ,wife
25,lösa ,solve
26,gatan ,The street
27,bild ,picture
28,musik ,music
29,sist ,last
30,slutade ,stopped
31,upptagen ,occupied
32,talat ,spoken
33,snacka ,Talk
34,säkerhet ,security
35,dricker ,Drink
36,äkta ,genuine
37,därifrån ,From there
38,hette ,was called
39,jim ,Jim
40,harry ,Harry
41,förlorar ,losing
42,stad ,City
43,drog ,drug
44,general ,General
45,lunch ,lunch
46,ungefär ,approximately
47,lärt ,learned
48,stäng ,Close
49,hög ,high
50,handen ,Hand
51,kasta ,throw
52,adjö ,goodbye
53,varenda ,every
54,brott ,crime
55,bar ,bar
56,byta ,change
57,området ,area
58,valde ,chose
59,glas ,glass
60,unga ,Young
61,ställer ,Places
62,börjat ,began
63,vann ,Won
64,intresserad ,interested
65,nick ,nod
66,jimmy ,Jimmy
67,väntade ,waited
68,köper ,Buying
69,pojkar ,Boys
70,dumt ,stupid
71,åk ,ride
72,sarah ,Sarah
73,ordnar ,arranges
74,fröken ,Miss
75,framtiden ,The future
76,ray ,Ray
77,make ,husband
78,säljer ,sells
79,försvinn ,Disappear
80,pojkvän ,boyfriend
81,snyggt ,Nice
82,minut ,minute
83,flickor ,Girls
84,vackra ,Beautiful
85,dåliga ,Bad
86,spår ,track
87,stör ,disturb
88,tittade ,looked
89,hänger ,Hangs
90,ingenstans ,Nowhere
91,dela ,share
92,närheten ,around
93,bevisa ,prove
94,ljus ,light
95,hinner ,have time to
96,paris ,Paris
97,luktar ,Smells
98,släpper ,release
99,närmare ,closer
100,svär ,swear
101,chansen ,The chance
102,förstått ,understood
103,velat ,Wanted
104,vanligt ,plain
105,drink ,drink
106,tony ,Tony
107,sängen ,the bed
108,bob ,Bob
109,brev ,mail
110,detsamma ,the same
111,överens ,agreed
112,gissa ,guess
113,å ,Å
114,någonstans ,somewhere
115,talas ,spoken
116,väntat ,Expected
117,boken ,The book
118,bill ,Bill
119,arbeta ,work
120,dumma ,Stupid
121,pistol ,gun
122,ansiktet ,the face
123,ringt ,rung
124,röst ,voice
125,akta ,beware
126,säkra ,secure
127,månad ,month
128,ombord ,on board
129,läst ,read
130,själ ,Soul
131,äger ,Own
132,tommy ,Tommy
133,välkomna ,welcome
134,marken ,the ground
135,lägenhet ,apartment
136,försiktigt ,gently
137,stackars ,Poor
138,grejer ,stuff
139,mary ,Mary
140,bilder ,pictures
141,kontroll ,Control
142,dessutom ,In addition
143,underbar ,wonderful
144,läser ,Reads
145,telefonen ,The phone
146,utmärkt ,Excellent
147,svarar ,answers
148,presidenten ,the president
149,uppskattar ,Appreciate
150,extra ,extra
151,gilla ,like
152,n ,n
153,skadad ,damaged
154,tanke ,thought
155,bygga ,build
156,dött ,Died
157,planen ,the plan
158,lämnat ,left
159,bestämmer ,decides
160,partner ,partner
161,sorts ,kind
162,sådan ,such
163,gode ,Good
164,doktor ,Doctor
165,liksom ,as well as
166,flyga ,fly
167,utom ,except
168,sällskap ,company
169,läste ,Read
170,verkade ,seemed
171,förresten ,By the way
172,tusen ,thousand
173,minst ,least
174,london ,London
175,unge ,young
176,rena ,clean
177,tal ,speech
178,olycka ,accident
179,stack ,stack
180,platsen ,the place
181,danny ,Danny
182,festen ,The party
183,inser ,realize
184,kunnat ,been able to
185,skitsnack ,bullshit
186,offer ,victims
187,skepp ,Ship
188,lyckades ,managed
189,glömmer ,Forget
190,krävs ,required
191,halv ,half
192,låna ,borrow
193,framåt ,Forward
194,grabbar ,boys
195,tillstånd ,permission
196,van ,van
197,öga ,eye
198,respekt ,respect
199,lista ,list
200,vapnet ,the weapon
201,ren ,clean
202,hopp ,hope
203,nervös ,nervous
204,skapa ,create
205,richard ,Richard
206,kyrkan ,Church
207,leka ,play
208,prova ,try
209,följde ,followed
210,överste ,colonel
211,team ,team
212,folket ,The people
213,ställ ,Set
214,historien ,history
215,varken ,neither
216,öppnar ,opens
217,billy ,Billy
218,bredvid ,beside
219,jake ,Jake
220,martin ,Martin
221,Jul ,Christmas
222,bodde ,lived
223,tecken ,sign
224,genast ,immediately
225,förstod ,understood
226,äldre ,older
227,försvinner ,disappears
228,gravid ,pregnant
229,insåg ,realized
230,makt ,Power
231,räkna ,count
232,skäl ,reason
233,skeppet ,The ship
234,hemlighet ,secret
235,behålla ,retain
236,passa ,fit
237,mördaren ,the killer
238,båten ,The boat
239,sade ,said
240,framtid ,future
241,lag ,law
242,oavsett ,regardless
243,talade ,spoke
244,killarna ,The guys
245,kräver ,requires
246,varann ,each other
247,värd ,host
248,ryggen ,The back
249,massor ,plenty
250,jämt ,evenly
251,säng ,BED
252,kraft ,force
253,bjuda ,invite
254,väljer ,Selects
255,föll ,fell
256,avsluta ,end
257,havet ,the sea
258,innebär ,means
259,bära ,wear
260,ej ,not
261,chris ,Chris
262,stilla ,still
263,tjäna ,serve
264,beror ,depend
265,tråkigt ,Boring
266,kostar ,costs
267,himlen ,Heaven
268,förmodligen ,Probably
269,viktig ,important
270,maten ,The food
271,högre ,higher
272,te ,tea
273,solen ,the sun
274,clark ,Clark
275,hjälte ,hero
276,lyckas ,succeed
277,antingen ,either
278,besök ,visit
279,djupt ,deep
280,vit ,White
281,överraskning ,surprise
282,förstör ,destroy
283,vågar ,dare
284,bit ,bit
285,hamnar ,ports
286,tankar ,thoughts
287,upprörd ,upset
288,grupp ,group
289,lik ,like
290,vanliga ,usual
291,morgonen ,The morning
292,thomas ,Thomas
293,engelska ,English
294,nyckeln ,The key
295,förstås ,of course
296,ansvar ,responsibility
297,band ,band
298,vin ,wine
299,ljuga ,lie
300,meningen ,the meaning
301,slappna ,Relax
302,bröt ,broke
303,överleva ,survive
304,ordet ,the word
305,ar ,are
306,företag ,business
307,beredd ,prepared
308,mordet ,The murder
309,jäveln ,The bastard
310,missade ,Missed
311,flyttar ,Moves
312,steve ,Steve
313,fånga ,catch
314,ms ,MS
315,pistolen ,The gun
316,röda ,Red
317,endast ,only
318,lova ,promise
319,per ,per
320,johnny ,Johnny
321,sprang ,ran
322,blå ,blue
323,taget ,taken
324,fatta ,take
325,flyttade ,Moved
326,normalt ,normally
327,tackar ,Thank you
328,baby ,baby
329,ärlig ,honest
330,anna ,Anna
331,laga ,prepare
332,kontoret ,the office
333,daniel ,Daniel
334,ålder ,age
335,kungen ,The king
336,skämtar ,joking
337,bjuder ,Offers
338,vänd ,Turn
339,luften ,the air
340,frukost ,breakfast
341,jane ,Jane
342,planer ,plans
343,knulla ,fuck
344,monster ,monster
345,tolv ,Twelve
346,leda ,lead
347,hälften ,half
348,poäng ,point
349,starta ,start
350,gömma ,hide
351,galet ,Crazy
352,hjärna ,brain
353,varmt ,warm
354,målet ,the goal
355,stänga ,close
356,golvet ,the floor
357,ljuset ,The light
358,bordet ,The table
359,ära ,honor
360,dar ,Dar
361,helvetet ,Hell
362,ledare ,leader
363,galna ,Crazy
364,smärta ,pain
365,minnas ,Remember
366,nöjd ,satisfied
367,rent ,purely
368,lagt ,laid
369,nåd ,Grace
370,hejsan ,Hello
371,eddie ,Eddie
372,backa ,Reverse
373,ät ,Eat
374,kändes ,felt
375,springa ,run
376,tjänar ,earns
377,skrivit ,written
378,spännande ,exciting
379,tanken ,thought
380,gratis ,free
381,wow ,Wow
382,definitivt ,definitely
383,bobby ,Bobby
384,båt ,Boat
385,träffades ,met
386,föddes ,was born
387,papper ,paper
388,ordning ,order
389,kämpa ,fight
390,lagen ,the law
391,skillnad ,difference
392,sjukhus ,hospital
393,bryta ,break
394,samtidigt ,at the same time
395,åren ,the years
396,droger ,Drugs
397,will ,will
398,scott ,Scott
399,titt ,look
400,använd ,used
401,sköta ,manage
402,ihjäl ,to death
403,vägrar ,refuses
404,ske ,happen
405,ungar ,kids
406,bilden ,the picture
407,farfar ,grandfather
408,ärligt ,honestly
409,fängelset ,the prison
410,mördade ,murdered
411,letade ,searched
412,faller ,falling
413,tappade ,dropped
414,mormor ,grandmother
415,sjunga ,sing
416,hemsk ,horrible
417,suger ,Sucks
418,sekund ,second
419,dök ,dived
420,soldater ,troops
421,öppen ,open
422,sköter ,Manages
423,öde ,Fate
424,regler ,rules
425,pris ,Award
426,skriv ,Write
427,översättning ,translation
428,kusin ,cousin
429,betalt ,Paid
430,jävligt ,Damn
431,förklarar ,explaining
432,snällt ,kindly
433,speciell ,special
434,delen ,part
435,amerikanska ,American
436,knappast ,hardly
437,människorna ,The people
438,hunden ,the dog
439,hänga ,hang
440,chuck ,chuck
441,dyker ,Dives
442,köket ,The kitchen
443,fönstret ,The window
444,skiter ,Shit
445,lee ,Lee
446,claire ,Claire
447,oskyldig ,innocent
448,hundra ,hundred
449,fann ,found
450,hamnade ,ended up
451,härligt ,Great
452,charles ,Charles
453,känsla ,feeling
454,hot ,threat
455,bry ,bry
456,farväl ,farewell
457,damen ,Lady
458,hål ,hole
459,college ,college
460,kollade ,Checked
461,lättare ,lighter
462,skjuten ,Shooted
463,of ,of
464,häftigt ,cool
465,gäng ,gang
466,exempel ,example
467,styrka ,strength
468,viktiga ,Important
469,ätit ,eaten
470,gamle ,Old
471,skor ,shoes
472,aj ,Ouch
473,pappas ,Daddy
474,framme ,in front
475,möta ,meet
476,gränsen ,the limit
477,lärare ,teacher
478,kört ,run
479,jäkla ,damn
480,dam ,Lady
481,robert ,Robert
482,springer ,runs
483,evigt ,forever
484,hoppades ,hoped
485,kallt ,cool
486,senast ,last
487,stjäla ,steal
488,gumman ,old man
489,reglerna ,the rules
490,slag ,kind
491,rachel ,Rachel
492,kl. ,At
493,förändras ,change
494,fungera ,work
495,häst ,HORSE
496,kate ,Kate
497,bröder ,brothers
498,diskutera ,discuss
499,gömmer ,Hiding
500,rolig ,funny
501,inblandad ,involved
502,maria ,Mary
503,lille ,Little
504,svaret ,The answer
505,orsak ,cause
506,männen ,The men
507,bilar ,cars
508,mammas ,Mom's
509,ordentligt ,proper
510,snabbare ,Faster
511,drömmar ,Dreams
512,walter ,Walter
513,presentera ,present
514,broder ,Brother
515,köpt ,purchased
516,regeringen ,the government
517,självmord ,suicide
518,kevin ,Kevin
519,återvända ,return
520,washington ,Washington
521,ensamma ,lonely
522,rik ,Rich
523,form ,form
524,amerika ,America
525,bestämt ,Certainly
526,skyddar ,protects
527,adam ,Adam
528,guld ,gold
529,listan ,The list
530,poliser ,Police
531,minne ,memory
532,förhållande ,relationship
533,hotellet ,The hotel
534,kontrollera ,verify
535,jagar ,hunting
536,taket ,The roof
537,sådant ,such
538,bett ,bite
539,jaga ,hunt
540,stycken ,Pieces
541,slipper ,Slips
542,t ,t
543,driver ,Driver
544,dejt ,date
545,frisk ,healthy
546,amy ,Amy
547,väggen ,The wall
548,bröllop ,wedding
549,jerry ,Jerry
550,street ,Street
551,arthur ,Arthur
552,ena ,one
553,procent ,percent
554,halsen ,throat
555,försvinna ,disappear
556,city ,City
557,andy ,Andy
558,desto ,Desto
559,krafter ,forces
560,personen ,the person
561,tänder ,teeth
562,farlig ,dangerous
563,färdig ,finished
564,kött ,meat
565,eric ,Eric
566,armén ,The army
567,ifred ,in peace
568,vanlig ,common
569,lov ,permission
570,karl ,Charles
571,varm ,hot
572,levde ,Lived
573,tusan ,Thus
574,bak ,rear
575,betalade ,paid
576,gåva ,Gift
577,antagligen ,Probably
578,sanning ,truth
579,major ,major
580,km ,km
581,gifte ,Married
582,england ,England
583,sparken ,fired
584,vems ,whose
585,mobil ,mobile
586,matt ,Matt
587,sålde ,Sold
588,munnen ,the mouth
589,struntar ,ignore
590,angående ,concerning
591,förstörde ,destroyed
592,fria ,free
593,dator ,computer
594,växte ,grew
595,stranden ,the beach
596,ryan ,Ryan
597,hotell ,Hotel
598,förflutna ,past
599,hantera ,manage
600,coolt ,Cool
601,sergeant ,sergeant
602,sysslar ,engages
603,carter ,Carter
604,lagar ,Laws
605,alan ,Alan
606,magi ,magic
607,mötet ,The meeting
608,skitstövel ,Shit
609,föredrar ,prefer
610,kameran ,the camera
611,tåget ,The train
612,skott ,shot
613,hemska ,horrible
614,liknande ,similar
615,svin ,swine
616,umgås ,socialize
617,strid ,battle
618,ön ,Island
619,tryck ,print
620,medicin ,medicine
621,kyle ,Kyle
622,spelet ,the game
623,noga ,Carefully
624,vaken ,awake
625,sakta ,slowly
626,skola ,school
627,hemligheter ,Secrets
628,san ,San.
629,red ,ed
630,matchen ,The match
631,når ,reaches
632,fira ,celebrate
633,böcker ,books
634,löjtnant ,lieutenant
635,liknar ,Similar to
636,drick ,Drink
637,koppla ,connect
638,tvinga ,force
639,minsta ,minimum
640,text ,text
641,mun ,mouth
642,träd ,tree
643,föra ,bring
644,affär ,business
645,bjöd ,offered
646,situationen ,the situation
647,benen ,The legs
648,an ,an
649,helgen ,weekend
650,hjärnan ,the brain
651,skrämmer ,scaring
652,stannade ,stopped
653,hustru ,wife
654,erkänna ,admit
655,le ,smile
656,bryter ,Breaking
657,skydd ,protection
658,alice ,Alice
659,soldat ,soldier
660,karriär ,career
661,byggnaden ,the building
662,rätten ,the right
663,reser ,traveling
664,floden ,the river
665,anser ,considers
666,koll ,Koll
667,klä ,dress
668,herrn ,sir
669,sker ,happens
670,miljon ,million
671,japp ,Yeah
672,stationen ,The station
673,åkt ,Ride
674,skratta ,laugh
675,söka ,search
676,bandet ,the band
677,simon ,Simon
678,omedelbart ,immediately
679,onda ,Evil
680,område ,area
681,frihet ,freedom
682,privat ,private
683,loss ,loose
684,taxi ,taxi
685,glada ,happy
686,jobbigt ,hard
687,d ,d
688,väskan ,The bag
689,skapade ,created
690,ted ,Ted
691,skrattar ,Laughing
692,halva ,half
693,överlever ,survives
694,uppmärksamhet ,attention
695,fars ,Father
696,lura ,fool
697,förslag ,suggestions
698,grejen ,the thing
699,spåra ,track
700,syns ,visible
701,konstig ,weird
702,förändrats ,changed
703,äktenskap ,marriage
704,vetat ,Know
705,starkare ,stronger
706,testa ,test
707,sheriffen ,The sheriff
708,bråttom ,in a hurry
709,sötnos ,sweetheart
710,dörr ,door
711,jason ,Jason
712,emma ,Emma
713,hora ,whore
714,löser ,Solves
715,håret ,The hair
716,fisk ,fish
717,nyligen ,recently
718,hoppar ,Jumps
719,affären ,the store
720,hindra ,obstruct
721,fångar ,prisoners
722,tjena ,Hey
723,william ,William
724,is ,ice
725,saknas ,Missing
726,vaknar ,Wake up
727,dave ,Dave
728,blodet ,the blood
729,kyss ,kiss
730,nytta ,benefit
731,sådana ,such
732,gråta ,cry
733,phil ,Phil
734,skallen ,the skull
735,högsta ,highest
736,situation ,situation
737,present ,gift
738,rom ,Gypsy
739,släppte ,dropped
740,oroar ,worrier
741,närmar ,approaching
742,tappat ,dropped
743,bussen ,The bus
744,föreslår ,proposes
745,luft ,air
746,väska ,bag
747,mil ,mile
748,tusentals ,thousands of
749,ägg ,egg
750,banken ,the bank
751,skuld ,debt
752,oliver ,Oliver
753,sara ,Sara
754,pete ,Pete
755,undvika ,avoid
756,stöd ,support
757,minnen ,Memories
758,bestämma ,determine
759,samman ,Together
760,misstänkt ,suspected
761,resan ,The trip
762,tillfälle ,opportunity
763,priset ,The price
764,skickat ,Sent
765,slutat ,quit
766,bord ,table
767,offret ,the victim
768,sakna ,miss
769,tokig ,crazy
770,via ,via
771,tidningen ,the newspaper
772,tycka ,think
773,fot ,Foot
774,nämnde ,mentioned
775,jäklar ,Damn
776,laget ,The team
777,ed ,oath
778,besviken ,disappointed
779,samtalet ,the conversation
780,våld ,violence
781,ljud ,sound
782,samla ,collect
783,tillbaks ,Back
784,fiender ,enemies
785,röd ,RED
786,födelsedag ,birthday
787,leo ,Leo
788,alltihop ,Everything
789,troligen ,probably
790,emily ,Emily
791,lögn ,lie
792,joey ,Joey
793,avtal ,agreement
794,påminner ,reminds
795,toaletten ,the toilet
796,kontakta ,contact
797,allihopa ,All
798,fötter ,feet
799,pâ ,p
800,ifall ,If
801,faktum ,fact
802,starka ,Strong
803,klass ,class
804,kuk ,cock
805,viktigaste ,Most important
806,drack ,drank
807,återvänder ,returns
808,ansvarig ,responsible
809,don ,Don
810,systemet ,the system
811,sten ,Stone
812,hoppade ,jumped
813,position ,position
814,nyheterna ,News
815,stänger ,Closes
816,långa ,Long
817,platser ,places
818,uppdraget ,The assignment
819,mörkret ,the darkness
820,skär ,notch
821,skapar ,creates
822,dna ,DNA
823,r ,r
824,vis ,way
825,semester ,vacation
826,tuff ,tough
827,snabb ,fast
828,luke ,Luke
829,middagen ,dinner
830,adress ,address
831,års ,year
832,lustigt ,funny
833,orkar ,can
834,tycks ,seems
835,lily ,Lily
836,skrämde ,scared
837,tillgång ,access
838,nycklarna ,The keys
839,kastar ,throws
840,hållit ,held
841,räknar ,counts
842,rädsla ,fear
843,slippa ,avoid
844,duger ,good enough
845,baren ,The bar
846,undrade ,wondered
847,begär ,desire
848,eftermiddag ,afternoon
849,känd ,known
850,skadade ,damaged
851,nöje ,pleasure
852,mörkt ,Dark
853,match ,match
854,lyckliga ,Happy
855,frankrike ,France
856,märkligt ,Strange
857,företaget ,the company
858,armé ,Army
859,växer ,Grows
860,svår ,difficult
861,hittades ,found
862,svarade ,replied
863,missar ,Misses
864,möjlighet ,ability
865,öppet ,open
866,hundar ,Dogs
867,energi ,energy
868,sådär ,That's how
869,professor ,professor
870,bygger ,builds
871,saknat ,missed
872,dagarna ,The days
873,acceptera ,accept
874,lurade ,cheated
875,and ,duck
876,tvätta ,wash
877,idéer ,Ideas
878,mej ,Me
879,löjligt ,ridiculously
880,plocka ,pick
881,lisa ,Lisa
882,dölja ,hide
883,ställde ,Pared
884,förvånad ,Surprised
885,high ,High
886,numret ,The number
887,dödad ,killed
888,majestät ,Majesty
889,eh ,eh
890,big ,Big
891,hållet ,held
892,hård ,hard
893,letat ,Looked
894,försvara ,defend
895,personligt ,Personal
896,föreställa ,imagine
897,kastade ,tossed
898,styr ,control
899,lek ,play
900,svag ,weak
901,arm ,arm
902,stoppar ,Stopping
903,hemligt ,Secret
904,domare ,Judge
905,fundera ,think
906,blommor ,Flowers
907,avslöja ,reveal
908,efteråt ,afterwards
909,mörda ,murder
910,ungarna ,The kids
911,ringen ,The ring
912,arbetet ,the work
913,st ,st
914,gifter ,toxins
915,sjunger ,sings
916,vaknade ,Woke up
917,carl ,Carl
918,sökte ,searched
919,handlade ,traded
920,mördad ,murdered
921,dagens ,Today's
922,sakerna ,Things
923,läs ,read
924,möter ,Meeting
925,smaka ,taste
926,rika ,rich
927,flickorna ,The girls
928,hamna ,end up
929,snabba ,Fast
930,fälla ,trap
931,stil ,style
932,avskyr ,detest
933,städa ,clean
934,pass ,Pass
935,klient ,client
936,sms ,SMS
937,kärleken ,the love
938,flög ,flew
939,vänder ,turns
940,heliga ,Holy
941,fokusera ,focus
942,tysta ,Silent
943,annanstans ,elsewhere
944,fienden ,the enemy
945,hemliga ,Secret
946,drottning ,Queen
947,kilometer ,kilometer
948,jackson ,Jackson
949,relation ,relationship
950,idioter ,Idiots
951,lås ,lock
952,el ,El
953,gråter ,cries
954,bröst ,breast
955,klubben ,The club
956,leker ,Playing
957,plus ,plus
958,lucy ,Lucy
959,hann ,Hann
960,hämnd ,revenge
961,fulla ,full
962,likadant ,same
963,sjuka ,Sick
964,rapport ,report
965,system ,system
966,jones ,Jones
967,rättvisa ,Justice
968,assistent ,assistant
969,farmor ,grandmother
970,fiende ,enemy
971,viss ,certain
972,tvingade ,forced
973,los ,los
974,spara ,save
975,bollen ,The ball
976,morgan ,Morgan
977,råkar ,happens to
